"year","iso2c","LUR_PT","BGS_BP6_USD","CG01_GALM_G01_XDC","NGDP_R_CH_SA_XDC","BCG_GALM_G01_XDC"
"1974","NL",NA,"1948.6014941714",NA,NA,NA
"1974","OM",NA,"557.035322979257",NA,NA,NA
"1974","PL",NA,NA,NA,"551790.482587939",NA
"1974","RO",NA,"-290",NA,"257984.651546502",NA
"1974","SA",NA,"25783.0985988121",NA,NA,NA
"1974","SE",NA,"-121.637374236897",NA,NA,NA
"1974","SG",NA,"-827.702240865218",NA,NA,NA
"1974","SN",NA,"-79.1841728166182",NA,NA,NA
"1974","ST",NA,"6.55449711053071",NA,NA,NA
"1974","SZ",NA,"61.0763863706085",NA,NA,NA
"1974","TG",NA,"93.28028500795",NA,NA,NA
"1974","TO",NA,"-4.51543908127056",NA,NA,NA
"1974","TR",NA,"-1874",NA,NA,NA
"1974","US","5.59166666666667","-6400",NA,"5390200",NA
"1974","VE",NA,"6596",NA,NA,NA
"1974","ZA",NA,"-190.48769462474",NA,NA,NA
"1975","AT","2.0499999995",NA,NA,NA,NA
"1975","AU","4.42499999925",NA,NA,"491687",NA
"1975","BB",NA,"-47.3037694088005",NA,NA,NA
"1975","BH",NA,"90.0126424526237",NA,NA,NA
"1975","BJ",NA,"-119.288199447148",NA,NA,NA
"1975","BR",NA,"-4994",NA,NA,NA
"1975","BW",NA,"-84.3804600777116",NA,NA,NA
"1975","CA","0","-3075.88912597874",NA,NA,NA
"1975","CH",NA,NA,NA,"328839.129791193",NA
"1975","CL",NA,"-217",NA,NA,NA
"1975","CO",NA,"102.17895",NA,"180991119.693503",NA
"1975","DE","4.73333333333333","9359.03425529826",NA,NA,NA
"1975","DK","11.08333333275","-240.130247059138",NA,"919239",NA
"1975","DO",NA,"1",NA,NA,NA
"1975","ES",NA,"-4490.64595462417",NA,NA,NA
"1975","FI",NA,"-1736.16561994702",NA,NA,NA
"1975","FR",NA,"5224.6402224606",NA,"954024",NA
"1975","GB","3.86666666608333","-4370.52141233687",NA,"752646.166958015",NA
"1975","GH",NA,"9.39135600013292",NA,NA,NA
"1975","HN",NA,"-101.75",NA,NA,NA
"1975","HT",NA,"-53.5000000107",NA,NA,NA
"1975","IL",NA,"-3480",NA,NA,NA
"1975","IN",NA,"-500.01760021568",NA,NA,NA
"1975","IT",NA,"-483.14417343766",NA,NA,NA
"1975","JO",NA,"-562.241044103424",NA,NA,NA
"1975","KE",NA,"-175.945251817231",NA,NA,NA
"1975","KW",NA,"5847.62390577473",NA,NA,NA
"1975","LK",NA,"-171.6813738559",NA,NA,NA
"1975","LS",NA,"-144.961292470885",NA,NA,NA
"1975","MA",NA,"-963.112162829154",NA,NA,NA
"1975","MG",NA,"-98.3145685204649",NA,NA,NA
"1975","ML",NA,"-143.925073809789",NA,NA,NA
"1975","MR",NA,"-92.3110830159975",NA,NA,NA
"1975","MT",NA,"-24.1694460713894",NA,NA,NA
"1975","MY",NA,"-163.339762033833",NA,NA,NA
"1975","NE",NA,"-72.5434632037866",NA,NA,NA
"1975","NL",NA,"2753.93134341555",NA,NA,NA
"1975","NO",NA,"-1969.40776145296",NA,NA,NA
"1975","OM",NA,"353.503185736836",NA,NA,NA
"1975","PL",NA,NA,NA,"584575.42207559",NA
"1975","PT",NA,"-1771.62383710726",NA,NA,NA
"1975","PY",NA,"-60.3",NA,NA,NA
"1975","RO",NA,"-46",NA,"271818.237669819",NA
"1975","SA",NA,"18350.5147364443",NA,NA,NA
"1975","SB",NA,"-20.4224122883575",NA,NA,NA
"1975","SE",NA,"364.899742577689",NA,NA,NA
"1975","SG",NA,"-579.850715021942",NA,NA,NA
"1975","SN",NA,"-93.7414405199763",NA,NA,NA
"1975","ST",NA,"-4.6930186057127",NA,NA,NA
"1975","SZ",NA,"42.8663523444689",NA,NA,NA
"1975","TG",NA,"-111.738490598899",NA,NA,NA
"1975","TH",NA,"-697.964174330011",NA,NA,NA
"1975","TO",NA,"-7.50859105300091",NA,NA,NA
"1975","TR",NA,"-2921",NA,NA,NA
"1975","TT",NA,"434.464487418289",NA,NA,NA
"1975","US","8.46666666666667","9970",NA,"5379525",NA
"1975","VE",NA,"2244",NA,NA,NA
"1975","ZA",NA,"-894.814876328007",NA,NA,NA
"1976","AN",NA,"-36.9444444649691",NA,NA,NA
"1976","AR",NA,"1125",NA,NA,NA
"1976","AT","2.02499999966667",NA,NA,NA,NA
"1976","AU","4.4999999995",NA,NA,"513066",NA
"1976","BB",NA,"-82.2",NA,NA,NA
"1976","BD",NA,"-480.606264950485",NA,NA,NA
"1976","BH",NA,"-33.8726700229971",NA,NA,NA
"1976","BJ",NA,"-152.855929894744",NA,NA,NA
"1976","BO",NA,"-36",NA,NA,NA
"1976","BR",NA,"-3971",NA,NA,NA
